u,Intercept,Stock_Index_Return,Three_Month_Rate_After_Demean,DTD_Level,DTD_Trend,Liquidity_Level_Nonfinancial,Liquidity_Trend_NonFinancial,NI_Over_TA_Level,NI_Over_TA_Trend,Size_Level,Size_Trend,M_Over_B,SIGMA,Liquidity_Level_Financial,Liquidity_Trend_Financial,DTD_Median_Fin,DTD_Median_Nfin,dummy_for_NM
1,-3.511041052006459,0.2885074006099595,-19.115558032810224,-1.577044622552941,-1.0943055541082514,-0.05273998921251726,-0.4843238472310256,-1.8165680166121474,-1.0770176372363576,0.13220294156172052,-1.6305611013741999,-0.06468356035049232,-0.1920680215373271,-0.00030846352773249126,-0.021080345177718392,-0.21781020889071437,0.034825106511034806,-1.0732429504111067
2,-3.502572806648138,0.2901470595142285,-18.974406492301014,-1.5748417610092509,-1.0931155698330426,-0.05188163644261856,-0.48419960907267307,-1.817532069623966,-1.0767361829700284,0.13216069388464677,-1.6278500648521066,-0.06442558950986822,-0.1981135005505607,-0.0003087300739584819,-0.021134840777005268,-0.21640465730326322,0.035931103437413285,-1.0728094861421311
3,-3.4941878857494455,0.2917850376062211,-18.833850545174748,-1.5726430016304502,-1.0919272393477348,-0.05103906867035202,-0.48405183639988714,-1.818495590775091,-1.0764548206761122,0.1321184568296157,-1.625143073619484,-0.06416845983088178,-0.20412426113236978,-0.0003089965598693556,-0.021189314079908147,-0.21500507304117114,0.037033563162614115,-1.0723763022676498
4,-3.4858857032613497,0.29342133630802403,-18.693887888143223,-1.570448335823709,-1.0907405602358382,-0.05021198508919763,-0.48388098379480543,-1.8194585802866037,-1.0761735503220646,0.13207623039411592,-1.6224401217841706,-0.06391216868162565,-0.21010046786027936,-0.0003092629854737495,-0.02124376509398872,-0.2136114325306478,0.03813249511482931,-1.0719433985899465
5,-3.477665676908396,0.29505595704117293,-18.554516226559848,-1.5682577550153876,-1.08955553008419,-0.04940009071308965,-0.4836874989178135,-1.8204210383828778,-1.0758923718754714,0.13203401457558672,-1.6197412034625398,-0.063656713438302,-0.2160422845761329,-0.0003095293507840442,-0.0212981938267446,-0.21222371228867273,0.03922790869851078,-1.0715107749114003
6,-3.4695272281651683,0.2966889012257884,-18.415733274385783,-1.5660712506509695,-1.0883721464829321,-0.048603096262895495,-0.4834718226047919,-1.8213829652844824,-1.0756112853038795,0.13199180937149305,-1.617046312779466,-0.06340209148519795,-0.22194987438914174,-0.00030979565581101094,-0.021352600285786765,-0.21084188892264258,0.04031981329441672,-1.0710784310345562
7,-3.4614697822328924,0.29832017028119734,-18.277536754160035,-1.563888814195087,-1.0871904070255214,-0.04782071805511931,-0.4832343889630293,-1.8223443612136565,-1.0753302905748598,0.13194961477928627,-1.6143554438682968,-0.06314830021465914,-0.22782339967923404,-0.0003100619005657271,-0.021406984478604847,-0.2094659391300427,0.04140821825965259,-1.0706463667620747
8,-3.4534927680165084,0.29994976562524867,-18.139924396966013,-1.56171043713143,-1.0860103093087332,-0.04705267789278613,-0.4829756254658471,-1.8233052263924843,-1.0750493876559977,0.13190743079642545,-1.6116685908708295,-0.0628953370270672,-0.23366302210010995,-0.0003103280850597148,-0.021461346412792542,-0.2080958396980855,0.04249313292775611,-1.0702145818967825
9,-3.4455956181015703,0.3015776886750823,-18.002893942400988,-1.5595361109626793,-1.084831850932636,-0.046298702958463916,-0.48269595304594437,-1.8242655610429157,-1.0747685765148889,0.13186525742035693,-1.6089857479373462,-0.06264319933081328,-0.23946890258248765,-0.00031059420930409947,-0.02151568609587018,-0.20673156750338523,0.04357456660873653,-1.0697830762416614
10,-3.4377777687313835,0.30320394084616825,-17.86644313854411,-1.5573658272105158,-1.0836550295006238,-0.045558525709381494,-0.4823957861874682,-1.825225365386495,-1.07448785711914,0.13182309464854589,-1.6063069092265372,-0.06239188454227514,-0.24524120133720678,-0.00031086027330980517,-0.02157000353536536,-0.20537309951160782,0.044652528589135834,-1.0693518495997925
11,-3.430038659784359,0.3048285235533641,-17.730569741925176,-1.5551995774155485,-1.0824798426193762,-0.0448318837746011,-0.48207553301685097,-1.8261846396447492,-1.0742072294363656,0.13178094247844999,-1.6036320689055532,-0.06214139008579151,-0.2509800778583962,-0.00031112627708813385,-0.021624298738808237,-0.20402041277713606,0.04572702813210049,-1.068920901774463
12,-3.4223777347513944,0.3064514382101361,-17.595271517493384,-1.5530373531372585,-1.0813062878988657,-0.04411851985420522,-0.48173559539240635,-1.8271433840393867,-1.0739266934341896,0.1317388009075269,-1.60096122114994,-0.06189171339363835,-0.256685690926562,-0.00031139222064993584,-0.021678571713742052,-0.20267348444273242,0.04679807447741463,-1.0684902325690477
13,-3.4147944407134396,0.30807268622871814,-17.4605462385863,-1.5508791459539932,-1.0801343629523728,-0.043418181620458234,-0.4813763689927156,-1.8281015987921827,-1.0736462490802763,0.13169666993323068,-1.5982943601436554,-0.061642851906004575,-0.2623581986117339,-0.0003116581040068145,-0.021732822467705117,-0.20133229173919992,0.047865676841576554,-1.0680598417871114
14,-3.4072882283192327,0.3096922690205145,-17.326391686898337,-1.5487249474628773,-1.0789640653964618,-0.04273062162090379,-0.4809982434038183,-1.829059284124303,-1.0733658963422605,0.13165454955302408,-1.5956314800790623,-0.06139480307096762,-0.2679977582765456,-0.0003119239271695134,-0.021787051008209494,-0.19999681198504968,0.048929844417850865,-1.0676297292323362
15,-3.3998585517630837,0.3113101879956098,-17.192805652450566,-1.5465747492798005,-1.0777953928509838,-0.04205559718336024,-0.4806016022052183,-1.830016440256852,-1.0730856351878273,0.13161243976436576,-1.5929725751568893,-0.06114756434446947,-0.27360452657931156,-0.0003121896901494586,-0.021841257342779717,-0.19866702258616722,0.049990586376325405,-1.0671998947085566
16,-3.392504868762904,0.3129264445629115,-17.059785933559297,-1.5444285430393614,-1.0766283429390677,-0.041392870322776505,-0.48018682305471894,-1.8309730674115643,-1.072805465584624,0.13157034056471512,-1.5903176395862424,-0.06090113319029275,-0.2791786594771174,-0.0003124553929575312,-0.02189544147893778,-0.1973429010354788,0.05104791186396161,-1.0667703380197529
