u,Intercept,Stock_Index_Return,Three_Month_Rate_After_Demean,DTD_Level,DTD_Trend,Liquidity_Level_Nonfinancial,Liquidity_Trend_NonFinancial,NI_Over_TA_Level,NI_Over_TA_Trend,Size_Level,Size_Trend,M_Over_B,SIGMA,Liquidity_Level_Financial,Liquidity_Trend_Financial,DTD_Median_Fin,DTD_Median_Nfin,dummy_for_NM
1,-2.9204798302748536,0.1287272730153784,1.817333257074349,-0.00029313125737965017,-0.00017628404749916538,-0.16979595265159939,-0.28315771880535057,-1.4969347706834315,-1.5279234468662883,-0.1278786485246567,-0.47279002585543395,-0.03590836599913633,1.9879780519097372,-0.002571840090413385,0.21675091962122192,-0.00973514134996215,-0.01710289466202916,0.0
2,-2.919466125666202,0.13151294756300877,1.8341886593532524,-0.0003469049709685297,-0.0001794006393495896,-0.16957476182783998,-0.28272111622858825,-1.4967146325040617,-1.5249162881039016,-0.12794133535471397,-0.47405913113688947,-0.035871997326417895,1.9845180074986992,-0.0025576673840028825,0.2155037211143252,-0.009859382771833786,-0.01709633974963937,0.0
3,-2.9184542782964917,0.13428727269205515,1.8510238532966037,-0.0004006434491520502,-0.00018250855994449288,-0.16935378323209985,-0.28228531267498613,-1.4964945146505038,-1.5219153682040352,-0.12800388362008824,-0.4753189379831752,-0.035835644876847234,1.9810659602221892,-0.002543509008933889,0.21426271961012716,-0.00998311733757122,-0.01708978816935983,0.0
4,-2.9174442849853293,0.13705028654471646,1.8678388590231987,-0.0004543467113895705,-0.00018560782925634958,-0.16913301667212138,-0.28185030690362317,-1.4962744171232896,-1.5189206829698814,-0.1280662935075534,-0.4765694920570791,-0.03579930864394946,1.9776218893818398,-0.002529364952678891,0.21302788527472283,-0.010106346727752248,-0.01708323991929839,0.0
5,-2.9164361425576497,0.13980202714233964,1.8846336966385115,-0.0005080147771373667,-0.00018869846721428077,-0.1689124619557966,-0.28141609767364417,-1.4960543399208799,-1.5159322281199148,-0.12812856520365226,-0.4778108388183325,-0.03576298862122995,1.9741857743360764,-0.0025152352027257925,0.21179918841612413,-0.010229072617720799,-0.017076694997560902,0.0
6,-2.9154298478436877,0.14254253238572917,1.9014083862294,-0.0005616476658488759,-0.00019178049370410015,-0.1686921188911969,-0.28098268374427593,-1.4958342830408131,-1.5129499992888102,-0.12819069889472345,-0.47904302352445544,-0.03572668480218691,1.9707575945000537,-0.002501119746573566,0.21057659948359267,-0.010351296677595781,-0.017070153402256122,0.0
7,-2.914425397678989,0.14527184005556706,1.9181629478619149,-0.0006152453969608707,-0.00019485392856844922,-0.1684719872865575,-0.28055006387484455,-1.4956142464818443,-1.5099739920283428,-0.1282526947668612,-0.4802660912316555,-0.035690397180351066,1.9673373293453875,-0.0024870185717290856,0.20936008906696746,-0.01047302057229471,-0.017063615131493286,0.0
8,-2.9134227889043878,0.14798998781282258,1.9348974015853253,-0.0006688079899078456,-0.0001979187916067428,-0.16825206695028808,-0.28011823682478704,-1.4953942302423222,-1.5070042018082659,-0.1283145530059438,-0.4814800867956701,-0.035654125749229396,1.9639249584000915,-0.0024729316657107333,0.20814962789600314,-0.010594245961545845,-0.017057080183383016,0.0
9,-2.912422018365983,0.1506970131990207,1.9516117674276223,-0.000722335464111044,-0.00020097510257539674,-0.16803235769096575,-0.2796872013536603,-1.4951742343200312,-1.504040624017218,-0.1283762737976307,-0.4826850548726126,-0.03561787050234936,1.9605204612483695,-0.002458859016047629,0.2069451868397063,-0.010714974499903968,-0.017050548556037062,0.0
10,-2.911423082915167,0.15339295363672428,1.9683060653995597,-0.000775827838978581,-0.00020402288118781338,-0.16781285931733914,-0.2792569562211612,-1.494954258713856,-1.5010832539635597,-0.1284378573273503,-0.48388103991985304,-0.035581631433231196,1.957123817530447,-0.0024448006102775824,0.20574673690567857,-0.010835207836767266,-0.017044020247568483,0.0
11,-2.910425979408584,0.1560778464298153,1.9849803154931531,-0.000829285133919146,-0.00020706214711457323,-0.16759357163832586,-0.2788275001871353,-1.4947343034217098,-1.49813208687627,-0.12849930378031138,-0.48506808619685166,-0.035545408535396006,1.9537350069424528,-0.002430756435951325,0.20455424923945975,-0.010954947616392097,-0.017037495256091027,0.0
