Date,CDS
1998-03-23,NaN
1998-03-24,NaN
1998-03-25,NaN
1998-03-26,NaN
1998-03-27,NaN
1998-03-30,NaN
1998-03-31,NaN
1998-04-01,NaN
1998-04-02,NaN
1998-04-03,NaN
1998-04-06,NaN
1998-04-07,NaN
1998-04-08,NaN
1998-04-09,NaN
1998-04-13,NaN
1998-04-14,NaN
1998-04-15,NaN
1998-04-16,NaN
1998-04-17,NaN
1998-04-20,NaN
1998-04-21,NaN
1998-04-22,NaN
1998-04-23,NaN
1998-04-24,NaN
1998-04-27,NaN
1998-04-28,NaN
1998-04-29,NaN
1998-04-30,NaN
1998-05-01,NaN
1998-05-04,NaN
1998-05-05,NaN
1998-05-06,NaN
1998-05-07,NaN
1998-05-08,NaN
1998-05-11,NaN
1998-05-12,NaN
1998-05-13,NaN
1998-05-14,NaN
1998-05-15,NaN
1998-05-18,NaN
1998-05-19,NaN
1998-05-20,NaN
1998-05-21,NaN
1998-05-22,NaN
1998-05-26,NaN
1998-05-27,NaN
1998-05-28,NaN
1998-05-29,NaN
1998-06-01,NaN
1998-06-02,NaN
1998-06-03,NaN
1998-06-04,NaN
1998-06-05,NaN
1998-06-08,NaN
1998-06-09,NaN
1998-06-10,NaN
1998-06-11,NaN
1998-06-12,NaN
1998-06-15,NaN
1998-06-16,NaN
1998-06-17,NaN
1998-06-18,NaN
1998-06-19,NaN
1998-06-22,NaN
1998-06-23,NaN
1998-06-24,NaN
1998-06-25,NaN
1998-06-26,NaN
1998-06-29,NaN
1998-06-30,NaN
1998-07-01,NaN
1998-07-02,NaN
1998-07-06,NaN
1998-07-07,NaN
1998-07-08,NaN
1998-07-09,NaN
1998-07-10,NaN
1998-07-13,NaN
1998-07-14,NaN
1998-07-15,NaN
1998-07-16,NaN
1998-07-17,NaN
1998-07-20,NaN
1998-07-21,NaN
1998-07-22,NaN
1998-07-23,NaN
1998-07-24,NaN
1998-07-27,NaN
1998-07-28,NaN
1998-07-29,NaN
1998-07-30,NaN
1998-07-31,22.691930691935237
1998-08-03,22.64256630384843
1998-08-04,20.904049544234763
1998-08-05,21.040264353255914
1998-08-06,21.75687753992791
1998-08-07,22.05276609392943
1998-08-10,21.553339641496077
1998-08-11,21.40601045991407
1998-08-12,21.881542007771227
1998-08-13,21.98612946074102
1998-08-14,20.810767856202407
1998-08-17,23.12820886457318
1998-08-18,22.392708262972352
1998-08-19,22.519848901233885
1998-08-20,21.18804574996165
1998-08-21,21.450291883091424
1998-08-24,21.11954212951408
1998-08-25,22.26823070545812
1998-08-26,22.607420951515703
1998-08-27,21.33281785678132
1998-08-28,20.906661312718455
1998-08-31,23.80919102352557
1998-09-01,26.638731703101932
1998-09-02,25.700599019123988
1998-09-03,26.26363435982356
1998-09-04,25.226546973993607
1998-09-08,26.326298825536448
1998-09-09,25.667279969920326
1998-09-10,25.358316943704875
1998-09-11,27.33473572826706
1998-09-14,27.728538053404662
1998-09-15,28.552982874067002
1998-09-16,29.263961669910955
1998-09-17,28.399714271092616
1998-09-18,27.79776105664995
1998-09-21,28.60491426364846
1998-09-22,28.78544138011443
1998-09-23,29.251745769118262
1998-09-24,29.471869913528142
1998-09-25,30.535925594641885
1998-09-28,30.012186155790772
1998-09-29,31.329827764210194
1998-09-30,28.737110342237905
1998-10-01,32.21226795131493
1998-10-02,31.836724860097366
1998-10-05,30.788456869290957
1998-10-06,34.65063380220291
1998-10-07,31.23704938645183
1998-10-08,31.023675788628097
1998-10-09,33.27279428067171
1998-10-12,31.192028549078294
1998-10-13,28.91202994332697
1998-10-14,27.70367824125526
1998-10-15,29.430140887093867
1998-10-16,28.13718223630806
1998-10-19,28.27626667361674
1998-10-20,28.314985782297192
1998-10-21,28.867654445935983
1998-10-22,29.35668768456124
1998-10-23,30.910696174761046
1998-10-26,31.696774414681855
1998-10-27,33.665871682816665
1998-10-28,31.290309786109592
1998-10-29,31.83879178575452
1998-10-30,38.44810302442675
1998-11-02,37.35165923443576
1998-11-03,35.08349760143543
1998-11-04,36.62278840360271
1998-11-05,36.09809826434344
1998-11-06,36.59713976013639
1998-11-09,37.46865548863743
1998-11-10,37.80998523552234
1998-11-11,37.822874687249936
1998-11-12,39.76375235963615
1998-11-13,38.55660087486374
1998-11-16,37.028492364994975
1998-11-17,36.056340722238694
1998-11-18,37.01316314393172
1998-11-19,37.18374818152388
1998-11-20,35.68838090682788
1998-11-23,35.78872910477272
1998-11-24,37.955182935275175
1998-11-25,37.50263804043656
1998-11-27,37.5077745743007
1998-11-30,33.66445459270228
1998-12-01,33.98637799895541
1998-12-02,33.76095837334833
1998-12-03,32.67313156936927
1998-12-04,33.38651955455295
1998-12-07,33.45547668083212
1998-12-08,33.0055682083213
1998-12-09,33.40795520493303
1998-12-10,33.720578294930185
1998-12-11,34.03610294840337
1998-12-14,33.56959935702624
1998-12-15,34.746073094716394
1998-12-16,34.36050190952425
1998-12-17,35.273964958915165
1998-12-18,36.89591413200591
1998-12-21,40.47562996505727
1998-12-22,37.52360845818514
1998-12-23,39.02151095108152
1998-12-24,39.98550031461802
